Place of interest,Type of place,Place address,BiciMAD station,Station location
Colegio Público Los Almendros,Colegios públicos,CALLE LADERA DE LOS ALMENDROS 45,Pavones,Calle Hacienda de Pavones nº 342
Colegio Público Los Rosales,Colegios públicos,AVENIDA LOS ROSALES 131,Embajadores 191,Calle Sodio nº 1B
Colegio Público Loyola de Palacio,Colegios públicos,CALLE EMBALSE DE NAVACERRADA 60,Pavones,Calle Hacienda de Pavones nº 342
Colegio Público Luis Bello,Colegios públicos,CALLE LUIS CABRERA 66,Prosperidad,Calle Suero de Quiñones nº 2
Colegio Público Luis Cernuda,Colegios públicos,CALLE CARRIL DEL CONDE 64,Carlota O’Neill,Calle Carlota O'Neill nº 32
Colegio Público Luis de Góngora,Colegios públicos,CALLE SARRIA 49,Francos Rodríguez,Calle Francos Rodríguez nº 62
Colegio Público Madrid Sur,Colegios públicos,CALLE PUERTO DE BALBARAN 133,Concordia,Calle Arroyo del Olivar nº 6
Colegio Público Maestro Padilla,Colegios públicos,AVENIDA PESETA 112,Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9
Colegio Público Manuel Bartolomé Cossío,Colegios públicos,CALLE JOSE DE CADALSO 19,Caramuel,Calle Caramuel nº 51
Colegio Público Manuel Núñez de Arenas,Colegios públicos,CALLE MARTOS 120,Concordia,Calle Arroyo del Olivar nº 6
Colegio Público Manuel Sáinz de Vicuña,Colegios públicos,CALLE CAMINO DE LOS VINATEROS 104,Plaza del Encuentro,Calle Arroyo de las Pilillas nº 6
Colegio Público Manuel de Falla,Colegios públicos,CALLE JOSE ORTU&amp;Ntilde;O PONCE 2,Glorieta de Cádiz,Calle Antonio López nº 129
Colegio Público Marcelo Usera,Colegios públicos,CALLE PERALES DE TAJUÑA 1,Glorieta de Cádiz,Calle Antonio López nº 129
Colegio Público Margaret Thatcher,Colegios públicos,GLORIETA PLAYA DE SAN LORENZO 4,Carlota O’Neill,Calle Carlota O'Neill nº 32
Colegio Público Mariano José de Larra,Colegios públicos,CALLE LONGARES 11,Gutierre de Cetina,Calle Gutierre de Cetina nº 77
Colegio Público Marqués de Marcenado,Colegios públicos,CALLE LINNEO 31,Paseo Imperial,Paseo Imperial nº 20
